No.,Status Pekerjaan Utama,dibawahSD,SMP,SLTAUmum,SLTAKejuruan,AkademiDiploma,Universitas,Total,Tahun,Dominan,NAMA
1,Berusaha Sendiri,5127327,5156290,4953200,2572103,458871,1065470,19333261,2020,5156290,SMP
2,Berusaha dibantu Buruh Tidak Tetap/Tidak Dibayar,14113,3543744,2860404,1251953,222390,494559,8387163,2020,3543744,SMP
3,Berusaha dibantu Buruh Tetap/Dibayar,265304,738076,947640,436947,136609,532366,3056942,2020,947640,SLTAUmum
4,Buruh/Karyawan/Pegawai,3316985,6905272,10836452,8315419,2421334,9659943,41455405,2020,10836452,SLTAUmum
5,Pekerja bebas pertanian,6949485,986142,419036,165691,7127,10976,8538457,2020,6949485,dibawahSD
6,Pekerja bebas non pertanian,1344568,1850412,994636,580908,24849,63216,4858589,2020,1850412,SMP
7,Pekerja keluarga/tak dibayar,3142182,4289751,3328653,1522661,202776,538775,13024798,2020,4289751,SMP
8,Berusaha Sendiri,26348,5243204,5046745,2920719,466672,1122034,14825722,2021,5243204,SMP
9,Berusaha dibantu Buruh Tidak Tetap/Tidak Dibayar,107889,3418872,2842957,1298469,215209,515439,8398835,2021,3418872,SMP
10,Berusaha dibantu Buruh Tetap/Dibayar,260452,707957,964244,502689,136023,538838,3110203,2021,964244,SLTAUmum
11,Buruh/Karyawan/Pegawai,118672,6904322,11052294,9634683,2401860,10550663,40662494,2021,11052294,SLTAUmum
12,Pekerja bebas pertanian,136441,991794,432260,183260,8545,11866,1764166,2021,991794,SMP
13,Pekerja bebas non pertanian,133288,1974494,1015443,687949,21746,62106,3895026,2021,1974494,SMP
14,Pekerja keluarga/tak dibayar,2448606,4035516,3369593,1630986,213324,539555,12237580,2021,4035516,SMP
